Mode,Rounding,Mean Latency (ms),Std Latency (ms),mAP@0.5:0.95,Weight_MSE,Feature_SQNR_dB
FP32 (reference),1,119.75,21.81,0.450,0.000000,100.00
q43,5,117.75,15.32,0.437,0.00000240,18.64
q52,5,117.99,15.28,0.415,0.00000653,12.89
"Custom(5, 5)",5,117.05,15.18,0.452,0.00000014,31.49
"Custom(5, 7)",5,115.97,14.99,0.449,0.00000001,41.96
"Custom(8, 4)",5,115.00,14.84,0.441,0.00000060,20.55
bfloat16,5,114.30,14.93,0.451,0.00000001,40.34
tf32,5,114.90,14.80,0.451,0.00000000,60.51
half,5,114.28,14.96,0.451,0.00000000,60.41
FP32,5,114.48,14.84,0.450,0.00000000,130.16
q43,6,106.45,15.04,0.000,0.00000484,-157.53
q52,6,113.85,14.89,0.359,0.00001719,9.23
"Custom(5, 5)",6,114.02,14.99,0.442,0.00000024,27.55
"Custom(5, 7)",6,114.12,14.92,0.448,0.00000001,39.01
"Custom(8, 4)",6,114.04,14.91,0.445,0.00000089,20.28
bfloat16,6,113.98,14.88,0.450,0.00000001,39.35
tf32,6,114.12,14.87,0.451,0.00000000,57.28
half,6,113.94,14.80,0.451,0.00000000,56.45
FP32,6,114.11,14.79,0.450,0.00000000,122.36
